GlobalUltimate_Name,Headquarters_Name,BusinessName,Physical_Adr1,Physical_Adr2,Physical_City,Physical_State,Physical_Zip,Physical_Zip4,Country,Telephone
Ascension Health Alliance,Alexian Brothers Health System,Alexian Brothers Health System,437 Alexian Way,,Chattanooga,TN,37405,,USA,4238860100
Advocate Aurora Health Inc.,"Aurora Health Care, Inc.","Aurora Health Care, Inc.",12225 71st St,,Kenosha,WI,53142,7320,USA,2629484870
Quest Diagnostics Incorporated,Unilab Corporation,Unilab Corporation,10900 N Scottsdale Rd # 301,,Scottsdale,AZ,85254,5216,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1580 W Antelope Dr # 215,,Layton,UT,84041,1160,USA,8017761182
Quest Diagnostics Incorporated,Unilab Corporation,Unilab Corporation,15211 Vanowen St Ste 100,,Van Nuys,CA,91405,3628,USA,
Advocate Aurora Health Inc.,"Advanced Healthcare, Inc.","Advanced Healthcare, Inc.",16985 W Bluemound Rd,,Brookfield,WI,53005,5909,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,503 Gaslight Blvd,,Lufkin,TX,75904,3127,USA,9366379470
Quest Diagnostics Incorporated,Quest Diagnostics Nichols Institute,Quest Diagnostics Nichols Institute,800 8th Ave Ste 116,,Fort Worth,TX,76104,2606,USA,
New York University,New York University,New York University,421 1st Ave,,New York,NY,10010,4001,USA,2129989434
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1000 Alpine Ave Ste 261,,Boulder,CO,80304,3499,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,462 Howe Ave,,Cuyahoga Falls,OH,44221,4957,USA,3309291559
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Tenet South Fulton, Inc.",1170 Cleveland Ave,,East Point,GA,30344,3615,USA,4043053500
Quest Diagnostics Incorporated,"Hays Pathology Laboratories, P.A.","Hays Pathology Laboratories, P.A.",2220 Canterbury Dr,,Hays,KS,67601,2370,USA,
Banner Health,Banner Health,Banner Health,13657 W McDowell Rd # 11,,Goodyear,AZ,85395,2601,USA,6235363379
Ascension Health Alliance,Ascension Genesys Hospital,Genesys Regional Medical Center,8423 Holly Rd,,Grand Blanc,MI,48439,2487,USA,
Baylor Scott & White Health,Baylor Scott & White Health,Baylor Scott & White Health,9101 N Cntl Expy Ste 160,,Dallas,TX,75231,,USA,2142651818
Quest Diagnostics Incorporated,"Ameripath, Inc.","Ameripath, Inc.",1777 Montreal Cir,,Tucker,GA,30084,6802,USA,4846767180
Tenet Healthcare Corporation,"Tenet Healthsystem Medical, Inc.","Tenet Healthsystem Medical, Inc.",1041 E Yorba Linda Blvd,,Placentia,CA,92870,3728,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Piedmont Family Practice At Tega Cay, L.L.C.",773 Stockbridge Dr,,Fort Mill,SC,29708,7200,USA,8035475447
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1411 Oliver Rd Ste 130,,Fairfield,CA,94534,3425,USA,7074211827
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,960 N 12th St,,Milwaukee,WI,53233,1306,USA,4142197653
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,450 W Highway 22 Ste 16,,Barrington,IL,60010,1919,USA,
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,136 W Higgins Rd,,Hoffman Estates,IL,60169,4914,USA,8478391000
Baylor Scott & White Health,Scott & White Memorial Hospital,Scott & White Memorial Hospital,1501 W Pecan St Ste 102,,Pflugerville,TX,78660,2543,USA,5125099525
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,"Reprosource, Inc.",200 Forest St,,Marlborough,MA,01752,3023,USA,7819378893
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,912 Northwest Hwy,,Fox River Grove,IL,60021,1925,USA,8475168187
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,389d 3rd St S,,Jacksonville Beach,FL,32250,,USA,9042414990
Quest Diagnostics Incorporated,Peacehealth Laboratories,Peacehealth Laboratories,1755 Coburg Rd Ste 1a,,Eugene,OR,97401,4900,USA,5414846215
Quest Diagnostics Incorporated,Unilab Corporation,Unilab Corporation,25 Evergreen Ave Ste 4,,Mill Valley,CA,94941,3399,USA,
Tenet Healthcare Corporation,"Tenet Healthsystem Medical, Inc.","Tenet Healthsystem Medical, Inc.",3101 Churchill Dr Ste 110,,Lewisville,TX,75022,2717,USA,
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,931 W 75th St Ste 127,,Naperville,IL,60565,7201,USA,6305794668
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,18700 W Lake Houston Pkwy,,Humble,TX,77346,3349,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,1919 State St,,New Albany,IN,47150,4929,USA,8129495779
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,133 W Santa Clara St,,Ventura,CA,93001,2543,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,8901 FM 1960 Bypass Rd W,,Humble,TX,77338,4018,USA,2814460206
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,8207 Sierra College Blvd,,Roseville,CA,95661,9407,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,525 E Basin Rd,,New Castle,DE,19720,4230,USA,3023224651
Tenet Healthcare Corporation,"United Surgical Partners International, Inc.","United Surgical Partners International, Inc.",12121 Richmond Ave,,Houston,TX,77082,2432,USA,7137969666
Quest Diagnostics Incorporated,"Quest Diagnostics Clinical Laboratories, Inc.","Quest Diagnostics Clinical Laboratories, Inc.",9361 W 75th St Bldg 5,,Overland Park,KS,66204,4000,USA,9132366303
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Vhs University Laboratories, Inc.",4201 Saint Antoine St 3e-1,,Detroit,MI,48201,2153,USA,3139930597
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,640 S Washington St # 140,,Naperville,IL,60540,6779,USA,6307788002
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,27750 W Highway 22 # 100,,Barrington,IL,60010,2379,USA,8478163000
Quest Diagnostics Incorporated,Holmes Hooper Inc,Holmes Hooper Inc,1285 Old US Highway 1 S,,Southern Pines,NC,28387,6308,USA,
Advocate Aurora Health Inc.,Advocate Health Care Network,Advocate Health Care Network,5454 Hohman Ave,,Hammond,IN,46320,1931,USA,2199332120
Advocate Aurora Health Inc.,"Aurora Health Care, Inc.","Aurora Health Care, Inc.",8905 W Lincoln Ave # 501,,Milwaukee,WI,53227,2468,USA,4149782229
Ascension Health Alliance,St Vincent Physician Network,St Vincent Physician Network,475 E Northfield Dr Ste B,,Brownsburg,IN,46112,2210,USA,3174155750
