HealthSystem,Name,Adr1,Adr2,City,State,ZipCode,Phone,Lat,Lng
Banner Health,Banner Children's - Banner Health Clinic,1075 S IDAHO RD STE 206,,APACHE JUNCTION,AZ,85119,,,
Banner Health,TOCA at Banner Health,18700 N. 64TH DR. SUITE 205,,GLENDALE,AZ,85308,,,
Banner Health,Banner MD Anderson Cancer Center at Banner Thunderbird Medical Center,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,
Banner Health,Banner Health Clinic,18699 N 67TH AVE STE. 120,,GLENDALE,AZ,85308,,,
Banner Health,Banner Children’s Specialists Cardiology and Cardiothoracic Surgery Clinic,5310 W THUNDERBIRD RD STE 214,,GLENDALE,AZ,85306,,,
Banner Health,Banner Occupational Health Clinic,5601 W EUGIE AVE STE 213,,GLENDALE,AZ,85304,,,
Banner Health,Banner Health Clinic,5757 W THUNDERBIRD RD STE E456,,GLENDALE,AZ,85306,,,
Banner Health,Banner Children's Specialists Surgery Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,,
Banner Health,Banner Children's Specialists Urology Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,,
Banner Health,Banner Children's Specialists Pulmonology and Sleep Medicine Clinic,5310 W THUNDERBIRD RD STE 311,,GLENDALE,AZ,85306,,,
Banner Health,Banner Children’s Specialists Neurology Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,,
Banner Health,Banner Children's Specialists Endocrinology Clinic,5310 W THUNDERBIRD RD STE 214,,GLENDALE,AZ,85306,,,
Banner Health,Banner Health Clinic,20325 N 51ST AVE STE 170 BLDG 9,,GLENDALE,AZ,85308,,,
Banner Health,Banner Children’s Specialists Critical Care Clinic,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,
Banner Health,Banner MD Anderson Cancer Center at Banner - University Medical Center Phoenix,925 E. MCDOWELL RD.,,PHOENIX,AZ,85006,,,
Banner Health,Banner Thunderbird Surgery Center,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,
Banner Health,Banner Surgery Center - Union Hills,18301 N 79TH AVE STE E150,,GLENDALE,AZ,85308,,,
Banner Health,Banner Surgery Center - Estrella,9301 W THOMAS RD,,PHOENIX,AZ,85037,,,
Banner Health,Banner Surgery Center - Desert,1500 S DOBSON RD STE 101,,MESA,AZ,85202,,,
Banner Health,Banner Surgery Center - Greeley,5890 W 13TH ST STE 102,,GREELEY,CO,80634,,,
Banner Health,Banner Surgery Center - Peoria,13640 N PLAZA DEL RIO BLVD STE 135,,PEORIA,AZ,85381,,,
Banner Health,Banner Surgery Center - Alvernon,750 N ALVERNON WAY,,TUCSON,AZ,85711,,,
Banner Health,Banner Surgery Center - Loveland,2555 E 13TH ST STE 200,,LOVELAND,CO,80537,,,
Banner Health,Banner Surgery Center - Sun City West,14416 W MEEKER BLVD STE 103,,SUN CITY WEST,AZ,85375,,,
Banner Health,Banner Surgery Center - Tempe,1940 E. SOUTHERN AVE.,,TEMPE,AZ,85282,,,
Banner Health,Banner Baywood Womens Center,6644 E BAYWOOD AVE,,MESA,AZ,85206,,,
Banner Health,Banner Imaging Baywood Breast Center,6553 E BAYWOOD AVE STE 102,,MESA,AZ,85206,,,
Banner Health,North Colorado Medical Center Breast Center,2001 70TH AVE,,GREELEY,CO,80634,,,
Banner Health,Banner - University Medicine Breast Imaging Center,4291 N CAMPBELL AVE,,TUCSON,AZ,85719,,,
Banner Health,McKee Breast Center,2000 BOISE AVE,,LOVELAND,CO,80538,,,
Banner Health,Banner Casa Grande Breast Center,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,,
Banner Health,Horizon Laboratory,2001 70TH AVE,,GREELEY,CO,80634,,,
Banner Health,Horizon Laboratory,102 HAYS AVE,,STERLING,AZ,80751,,,
Banner Health,Horizon Laboratory,2923 GINNALA DR,,LOVELAND,CO,80738,,,
Banner Health,Horizon Laboratory,1230 14TH ST SW,,LOVELAND,CO,80537,,,
Banner Health,Horizon Laboratory,2555 E 13TH ST STE 115,,LOVELAND,CO,80537,,,
Banner Health,Horizon Laboratory,702 W DRAKE RD BLDG A,,FORT COLLINS,CO,80526,,,
Banner Health,Horizon Laboratory,4700 LADY MOON DR,,FORT COLLINS,CO,80528,,,
Banner Health,Banner Casa Grande Coumadin Clinic,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,,
Banner Health,Horizon Laboratory,1300 MAIN ST,,WINDSOR,CO,80550,,,
Banner Health,Banner Family Pharmacy,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,
Banner Health,Banner Family Pharmacy,1441 N 12TH ST,,PHOENIX,AZ,85006,,,
Banner Health,Banner Family Pharmacy,9201 W THOMAS RD,,PHOENIX,AZ,85037,,,
Banner Health,Banner Family Pharmacy,1111 E MCDOWELL RD,,PHOENIX,AZ,85006,,,
Banner Health,Banner Family Pharmacy,6644 E BAYWOOD AVE,,MESA,AZ,85206,,,
Banner Health,Banner Family Pharmacy,1400 S DOBSON RD,,MESA,AZ,85202,,,
Banner Health,Banner Family Pharmacy,1801 16TH ST,,GREELEY,CO,80631,,,
Banner Health,Banner Family Pharmacy,2001 70TH AVE,,GREELEY,CO,80634,,,
Banner Health,Banner Family Pharmacy,13640 N PLAZA DEL RIO BLVD,,PEORIA,AZ,85306,,,
Banner Health,Banner Family Pharmacy,2800 E AJO WAY,,TUCSON,AZ,85713,,,
Banner Health,Banner Family Pharmacy,1625 N CAMPBELL AVE.,,TUCSON,AZ,85719,,,
Banner Health,Banner Family Pharmacy,2555 E 13TH ST STE 125,,LOVELAND,CO,80537,,,
Banner Health,Banner Family Pharmacy,14502 W MEEKER BLVD,,SUN CITY WEST,AZ,85375,,,
Banner Health,Banner Family Pharmacy,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,,
