HealthSystem,Name,ProviderType,Adr1,Adr2,City,State,ZipCode,Phone,Lat,Lng,Services
Banner Health,Banner Children's - Banner Health Clinic,Clinic,1075 S IDAHO RD STE 206,,APACHE JUNCTION,AZ,85119,,,,
Banner Health,TOCA at Banner Health,Clinic,18700 N. 64TH DR. SUITE 205,,GLENDALE,AZ,85308,,,,
Banner Health,Banner MD Anderson Cancer Center at Banner Thunderbird Medical Center,Clinic,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Children's Specialists Orthopedics Clinic,Clinic,5310 W. THUNDERBIRD RD.,,,,,,,,
Banner Health,Banner Health Clinic,Clinic,18699 N 67TH AVE STE. 120,,GLENDALE,AZ,85308,,,,
Banner Health,Banner Children’s Specialists Cardiology and Cardiothoracic Surgery Clinic,Clinic,5310 W THUNDERBIRD RD STE 214,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Occupational Health Clinic,Clinic,5601 W EUGIE AVE STE 213,,GLENDALE,AZ,85304,,,,
Banner Health,Banner Health Clinic,Clinic,5757 W THUNDERBIRD RD STE E456,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Children's Specialists Surgery Clinic,Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Children's Specialists Urology Clinic,Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Children's Specialists Pulmonology and Sleep Medicine Clinic,Clinic,5310 W THUNDERBIRD RD STE 311,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Children's Specialists Hematology and Oncology Clinic,Clinic,5757 W. THUNDERBIRD RD.,,,,,,,,
Banner Health,Banner Children’s Specialists Neurology Clinic,Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Children’s Specialists Gastroenterology Clinic,Clinic,5310 W. THUNDERBIRD RD.,,,,,,,,
Banner Health,Banner Children's Specialists Endocrinology Clinic,Clinic,5310 W THUNDERBIRD RD STE 214,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Health Clinic,Clinic,20325 N 51ST AVE STE 170 BLDG 9,,GLENDALE,AZ,85308,,,,
Banner Health,Banner Children’s Specialists Critical Care Clinic,Clinic,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,,
Banner Health,Banner – University Medicine Women’s Clinic,Clinic,15810 S. 45TH ST.,,,,,,,,
Banner Health,Banner MD Anderson Cancer Center at Banner - University Medical Center Phoenix,Clinic,925 E. MCDOWELL RD.,,PHOENIX,AZ,85006,,,,
Banner Health,Banner - University Medicine Neurosurgery Clinic,Clinic,755 E MCDOWELL RD.,,,,,,,,
Banner Health,Banner Thunderbird Surgery Center,Surgery Center,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Surgery Center - Union Hills,Surgery Center,18301 N 79TH AVE STE E150,,GLENDALE,AZ,85308,,,,
Banner Health,Banner Surgery Center - Estrella,Surgery Center,9301 W THOMAS RD,,PHOENIX,AZ,85037,,,,
Banner Health,Banner Surgery Center - University,Surgery Center,1111 E MCDOWELL RD,,,,,,,,
Banner Health,Banner Surgery Center - Desert,Surgery Center,1500 S DOBSON RD STE 101,,MESA,AZ,85202,,,,
Banner Health,Banner Surgery Center - Greeley,Surgery Center,5890 W 13TH ST STE 102,,GREELEY,CO,80634,,,,
Banner Health,Banner Surgery Center - Peoria,Surgery Center,13640 N PLAZA DEL RIO BLVD STE 135,,PEORIA,AZ,85381,,,,
Banner Health,Banner Surgery Center - Alvernon,Surgery Center,750 N ALVERNON WAY,,TUCSON,AZ,85711,,,,
Banner Health,Banner Surgery Center - South Valley,Surgery Center,36453 N GANTZEL RD.,,,,,,,,
Banner Health,Banner Surgery Center - Loveland,Surgery Center,2555 E 13TH ST STE 200,,LOVELAND,CO,80537,,,,
Banner Health,Banner Surgery Center - Sun City West,Surgery Center,14416 W MEEKER BLVD STE 103,,SUN CITY WEST,AZ,85375,,,,
Banner Health,Banner Surgery Center - Tempe,Surgery Center,1940 E. SOUTHERN AVE.,,TEMPE,AZ,85282,,,,
Banner Health,Banner Imaging Sunwest Breast Center,Breast Center,5757 W THUNDERBIRD RD,,,,,,,,
Banner Health,Banner Imaging Estrella Breast Center,Breast Center,9305 W THOMAS RD,,,,,,,,
Banner Health,Banner Imaging Paradise Valley Breast Center,Breast Center,16641 N 40TH ST.,,,,,,,,
Banner Health,Banner Baywood Womens Center,Breast Center,6644 E BAYWOOD AVE,,MESA,AZ,85206,,,,
Banner Health,Banner Imaging Baywood Breast Center,Breast Center,6553 E BAYWOOD AVE STE 102,,MESA,AZ,85206,,,,
Banner Health,Banner Imaging Dobson Breast Center,Breast Center,1450 S DOBSON RD,,,,,,,,
Banner Health,North Colorado Medical Center Breast Center,Breast Center,2001 70TH AVE,,GREELEY,CO,80634,,,,
Banner Health,Banner - University Medicine Breast Imaging Center,Breast Center,4291 N CAMPBELL AVE,,TUCSON,AZ,85719,,,,
Banner Health,McKee Breast Center,Breast Center,2000 BOISE AVE,,LOVELAND,CO,80538,,,,
Banner Health,Banner Casa Grande Breast Center,Breast Center,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,,,
Banner Health,Horizon Laboratory,Laboratory,2001 70TH AVE,,GREELEY,CO,80634,,,,
Banner Health,Horizon Laboratory,Laboratory,102 HAYS AVE,,STERLING,AZ,80751,,,,
Banner Health,Horizon Laboratory,Laboratory,2923 GINNALA DR,,LOVELAND,CO,80738,,,,
Banner Health,Horizon Laboratory,Laboratory,1230 14TH ST SW,,LOVELAND,CO,80537,,,,
Banner Health,Horizon Laboratory,Laboratory,2555 E 13TH ST STE 115,,LOVELAND,CO,80537,,,,
Banner Health,Horizon Laboratory,Laboratory,702 W DRAKE RD BLDG A,,FORT COLLINS,CO,80526,,,,
Banner Health,Horizon Laboratory,Laboratory,4700 LADY MOON DR,,FORT COLLINS,CO,80528,,,,
Banner Health,Banner Casa Grande Coumadin Clinic,Laboratory,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,,,
Banner Health,Horizon Laboratory,Laboratory,1300 MAIN ST,,WINDSOR,CO,80550,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,1441 N 12TH ST,,PHOENIX,AZ,85006,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,9201 W THOMAS RD,,PHOENIX,AZ,85037,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,1111 E MCDOWELL RD,,PHOENIX,AZ,85006,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,6644 E BAYWOOD AVE,,MESA,AZ,85206,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,1400 S DOBSON RD,,MESA,AZ,85202,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,1801 16TH ST,,GREELEY,CO,80631,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,2001 70TH AVE,,GREELEY,CO,80634,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,13640 N PLAZA DEL RIO BLVD,,PEORIA,AZ,85306,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,2800 E AJO WAY,,TUCSON,AZ,85713,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,1625 N CAMPBELL AVE.,,TUCSON,AZ,85719,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,2555 E 13TH ST STE 125,,LOVELAND,CO,80537,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,14502 W MEEKER BLVD,,SUN CITY WEST,AZ,85375,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,1800 E FLORENCE BLVD,,CASA GRANDE,AZ,85122,,,,
Banner Health,Banner Family Pharmacy,Pharmacy,2946 E BANNER GATEWAY DR,,GILBERT,AZ,85234,,,,
Banner Health,Banner Family Pharmacy at Banner Gateway,Pharmacy,1900 N HIGLEY RD,,GILBERT,AZ,85234,,,,
Banner Health,Banner MD Anderson Cancer Center at Banner Thunderbird Medical Center,Specialty Center,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,,,
Banner Health,Banner Thunderbird Cardiac and Pulmonary Rehabilitation,Specialty Center,5601 W EUGIE AVE STE 211 A & B,,GLENDALE,AZ,85304,,,,
Banner Health,Banner MD Anderson Cancer Center at Banner - University Medical Center Phoenix,Specialty Center,925 E. MCDOWELL RD.,,PHOENIX,AZ,85006,,,,
Banner Health,Banner - University Medicine Lung Institute,Specialty Center,755 E. MCDOWELL ROAD,,PHOENIX,AZ,85006,,,,
Banner Health,Banner Alzheimer's Institute,Specialty Center,901 E WILLETTA ST 1ST FLOOR AND 3RD FLOOR,,PHOENIX,AZ,85006,,,,
Banner Health,Banner - University Medicine Behavioral Health Clinic,Specialty Center,1300 N 12TH ST STE 320,,PHOENIX,AZ,85006,,,,
Banner Health,Banner - University Medicine Transplant Center and Advanced Liver Disease Clinic,Specialty Center,1300 N 12TH ST STE 404,,PHOENIX,AZ,85006,,,,
Banner Health,Banner - University Medicine Toxicology Clinic,Specialty Center,1012 E WILLETTA ST 2ND FLOOR,,PHOENIX,6,-2502,,,,
Banner Health,Banner - University Medical Center Phoenix Sleep Center,Specialty Center,1111 E MCDOWELL RD,,PHOENIX,AZ,85006,,,,
Banner Health,Banner Estrella Weight Loss Center,Specialty Center,9305 W THOMAS RD STE 360,,PHOENIX,AZ,85037,,,,
Banner Health,Banner Corporate Center,Other,2901 N CENTRAL AVE STE 160,,PHOENIX,AZ,85012,,,,
Banner Health,Banner Corporate Center Mesa,Other,525 W BROWN RD,,MESA,AZ,85201,,,,
Banner Health,Hospitality House at North Colorado Medical Center,Other,1910 15TH ST,,GREELEY,CO,80631,,,,
Banner Health,Banner Corporate Center,Other,7251 W 4TH ST,,GREELEY,CO,80634,,,,
Banner Health,Banner Olive Branch Senior Center,Other,11250 N 107TH AVE,,SUN CITY,AZ,85351,,,,
Banner Health,Banner Sun Health Research Institute,Other,10515 W SANTA FE DR,,SUN CITY,AZ,85351,,,,
Banner Health,Banner Home Care,Other,708 E ROUTE 260 STE A1,,PAYSON,AZ,85541,,,,
Banner Health,Stepping Stones Adult Day Program,Other,302 3RD ST SE STE 100,,LOVELAND,CO,80537,,,,
Banner Health,Banner Academy,Other,1410 W 10TH PL,,TEMPE,AZ,85281,,,,
Genesis Health System,Genesis Employee Wellness,At Work,210 West 53rd Street,,Davenport,IA,52806,563-421-0660,,,
Genesis Health System,Genesis Cancer Care Institute,Outpatient Treatment,1351 West Central Park Avenue,Pavilion 1,,,,,,,
Genesis Health System,Genesis Sports Concussion Clinic,Outpatient Treatment,4700 East 56th Street,,Davenport,IA,52807,563-421-4370,,,
Genesis Health System,Genesis Center for Digestive Health,Outpatient Treatment,2222 53rd Avenue,,Bettendorf,IA,52722,563-383-2686,,,
Genesis Health System,Genesis Cancer Genetics,Outpatient Treatment,1228 East Rusholme Street,Medical Office Building #1,,,,,,,
Genesis Health System,Genesis Center for Breast Health,Outpatient Treatment,1228 East Rusholme Street,Medical Office Building #1,,,,,,,
Genesis Health System,Genesis Center for Weight Management,Outpatient Treatment,1230 East Rusholme Street,Medical Office Building 2,,,,,,,
Genesis Health System,Genesis Cancer Care Institute,Physical Therapy,1351 West Central Park Avenue,Pavilion 1,,,,,,,
Genesis Health System,Genesis Sports Concussion Clinic,Physical Therapy,4700 East 56th Street,,Davenport,IA,52807,563-421-4370,,,
Genesis Health System,Genesis Center for Digestive Health,Physical Therapy,2222 53rd Avenue,,Bettendorf,IA,52722,563-383-2686,,,
Genesis Health System,Genesis Cancer Genetics,Physical Therapy,1228 East Rusholme Street,Medical Office Building #1,,,,,,,
Genesis Health System,Genesis Center for Breast Health,Physical Therapy,1228 East Rusholme Street,Medical Office Building #1,,,,,,,
