Index,HealthSystem,Name,Adr1,Adr2,City,State,ZipCode,Lat,Lng
0,Banner Health,Banner Children's - Banner Health Clinic,1075 S IDAHO RD STE 206,,APACHE JUNCTION,AZ,85119,,
1,Banner Health,TOCA at Banner Health,18700 N. 64TH DR. SUITE 205,,GLENDALE,AZ,85308,,
2,Banner Health,Banner MD Anderson Cancer Center at Banner Thunderbird Medical Center,5555 W THUNDERBIRD RD,,GLENDALE,AZ,85306,,
3,Banner Health,Banner Children's Specialists Orthopedics Clinic,"5310 W. THUNDERBIRD RD., SUITE 110",,GLENDALE,AZ,85306,,
4,Banner Health,Banner Health Clinic,18699 N 67TH AVE STE. 120,,GLENDALE,AZ,85308,,
5,Banner Health,Banner Children’s Specialists Cardiology and Cardiothoracic Surgery Clinic,5310 W THUNDERBIRD RD STE 214,,GLENDALE,AZ,85306,,
6,Banner Health,Banner Occupational Health Clinic,5601 W EUGIE AVE STE 213,,GLENDALE,AZ,85304,,
7,Banner Health,Banner Health Clinic,5757 W THUNDERBIRD RD STE E456,,GLENDALE,AZ,85306,,
8,Banner Health,Banner Children's Specialists Surgery Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,
9,Banner Health,Banner Children's Specialists Urology Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,
10,Banner Health,Banner Children's Specialists Pulmonology and Sleep Medicine Clinic,5310 W THUNDERBIRD RD STE 311,,GLENDALE,AZ,85306,,
11,Banner Health,Banner Children's Specialists Hematology and Oncology Clinic,"5757 W. THUNDERBIRD RD., SUITE E250",,GLENDALE,AZ,85306,,
12,Banner Health,Banner Children’s Specialists Neurology Clinic,5310 W THUNDERBIRD RD STE 301,,GLENDALE,AZ,85306,,
13,Banner Health,Banner Children’s Specialists Gastroenterology Clinic,"5310 W. THUNDERBIRD RD., SUITE 311",,GLENDALE,AZ,85306,,
14,Banner Health,Banner Children's Specialists Endocrinology Clinic,5310 W THUNDERBIRD RD STE 214,,GLENDALE,AZ,85306,,
